hunt_code,prefix,hunt_name,sex_type,species,weapon,hunt_type,season,date_context,source_permits_2026_total,source_status,source_file,source_sha256
EL3000,EL,"Beaver, East",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3002,EL,"Book Cliffs, Little Creek Roadless",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3003,EL,"Cache, Meadowville",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3005,EL,"Cache, South",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3006,EL,Manti,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3008,EL,"Fillmore, Pahvant",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3009,EL,"La Sal, La Sal Mtns",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3010,EL,Monroe,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3011,EL,Mt Dutton,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3013,EL,"North Slope, Three Corners",Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3015,EL,Panguitch Lake,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3018,EL,Fishlake/Thousand Lakes,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3019,EL,San Juan Bull Elk,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3020,EL,Diamond Mtn,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3022,EL,Wasatch Mtns,Bull,Elk,Archery,Limited Entry - Private Land Only,Aug 16 2025 - Sept 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3024,EL,"Beaver, East",Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3025,EL,"Beaver, East",Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Nov 08 2025 - Nov 16 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3028,EL,"Book Cliffs, Little Creek Roadless",Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 17 2025 - Sept 21 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
EL3031,EL,"Box Elder, Pilot Mtn",Bull,Elk,Any Legal Weapon,Limited Entry - Private Land Only,Sept 13 2025 - Oct 03 2025 - Private Land Only,HAS_2025_DATE_ONLY,,NO_PUBLISHED_PERMIT_COUNT,pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 l.e. elk.private lands  EL-2025 and LO-2026.csv,fd973910f5a75c433d96e8b634c4e4f462843457f4f854848d338af094d786dd
