hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,database_sex_type,species,weapon,database_weapon,hunt_type,database_hunt_type,season,database_season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
"Wasatch Mtns, East",DB1041,621,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1041,621,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,30,3,33,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"West Desert, Vernon",DB1042,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1042,248,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Sept 23 2026 - Oct 01 2026,Sept 23 2026 - Oct 01 2026,46,5,51,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Zion,DB1043,635,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1043,635,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,15,2,17,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Book Cliffs,DB1044,7,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1044,7,Buck,Buck,Deer,Multiseason,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"Fillmore, Oak Creek LE",DB1045,85,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1045,85,Buck,Buck,Deer,Multiseason,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"San Juan, Elk Ridge",DB1046,185,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1046,185,Buck,Buck,Deer,Multiseason,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Diamond Mtn,DB1047,206,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1047,206,Buck,Buck,Deer,Multiseason,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",4,0,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
"West Desert, Vernon",DB1048,248,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1048,248,Buck,Buck,Deer,Multiseason,Multiseason,Limited Entry,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026","Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",7,1,8,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Mt Dutton,DB1053,630,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1053,630,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,4,1,5,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
Ogden,DB1054,609,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DB1054,609,Buck,Buck,Deer,Muzzleloader,Muzzleloader,Limited Entry,Limited Entry,Oct 28 2026 - Nov 05 2026,Oct 28 2026 - Nov 05 2026,13,1,14,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026_deer_buck_limited_entry.csv,ced94152a6136f2a3e023e1c1dbe566eb5346e0dee343b05cbc4477e220a1619,
