hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,source_row_numbers,notes
Black Bear - Statewide Permit,BR1000,Either Sex,Black Bear,Any Legal Weapon,Statewide,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates take methods.,,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,2;3,
Black Bear Harvest Objective Units,BR1001,Either Sex,Black Bear,Any Legal Weapon,Harvest Objective,Visit wildlife.utah.gov/bearharvest for units & closures. You are required to complete the annual bear orientation course & carry proof while hunting bear. Visit wildlife.utah.gov/bear for details.,,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,4,
Black Bear Pursuit - Resident,BR1007,Either Sex,Black Bear,Pursuit Only,Pursuit,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_PUBLISHED_NUMERIC_PERMIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,5,
Book Cliffs,BR1008,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",26,2,28,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,6;7,
La Sal,BR1009,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,8;9,
San Juan,BR1010,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,10;11,
Book Cliffs,BR1011,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,12;13,
La Sal,BR1012,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,14;15,
San Juan,BR1013,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",14,1,15,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,16;17,
Book Cliffs,BR1015,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 black bear permits.csv,17499bf47dd5a57f3a7891eb9891dd348daeed7f2bbc296d8358571646b21bfa,18;19,
