hunt_code,species,hunt_name,unit,weapon,permits_2026,classification,modeled,has_prediction,has_point_ladder,has_crosswalk,has_harvest_evidence,has_coverage_record,display_odds_or_probability,model_version,final_state,gate_status,manual_review_required,source_current_database,source_prediction,source_crosswalk,source_coverage
BI6500,Bison,Antelope Island,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB0009,Deer,Antelope Island - Conservation/Expo,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1002,Deer,Antelope Island Premium,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1121,Deer,Antelope Island Management,,Any Legal Weapon,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS1000,Rocky Mountain Bighorn Sheep,Antelope Island Conservation,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
RS6700,Rocky Mountain Bighorn Sheep,Antelope Island,,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DA1041,Deer,"Nine Mile, Green River Valley",,Any Legal Weapon,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR1008,Black Bear,Book Cliffs,,Pursuit Only,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR1011,Black Bear,Book Cliffs,,Pursuit Only,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
BR1015,Black Bear,Book Cliffs,,Pursuit Only,,,false,false,false,false,false,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
DB1011,Deer,Book Cliffs,,Archery,,,false,false,false,false,true,false,,,MANUAL_REVIEW_REQUIRED,BLOCK,true,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,,,
