key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
bear|statewide|alw,Black Bear,Statewide,ALW,1.0,,1.0,CP-BLACK-BEAR-STATEWIDE-EITHER-SEX-MULTISEASON,active_only,bear|statewide|alw,Bear
bear|wasatch mountains avintaquin currant creek|alw,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",ALW,2.0,,1.0,CP-BLACK-BEAR-WASATCH-MTNS-AVINTAQUIN-CURRANT-CREEK-EITHER-SEX-MULTISEASON,active_only,bear|wasatch mountains avintaquin currant creek|alw,Bear
bear|wasatch mountains west central|alw,Black Bear,"Wasatch Mtns, West-Central",ALW,4.0,,3.0,CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON;CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON;CP-BLACK-BEAR-WASATCH-MTNS-WEST-CENTRAL-EITHER-SEX-MULTISEASON,active_only,bear|wasatch mountains west central|alw,Bear
bear|yellowstone|alw,Black Bear,Yellowstone,ALW,1.0,,1.0,CP-BLACK-BEAR-YELLOWSTONE-EITHER-SEX-MULTISEASON,active_only,bear|yellowstone|alw,Bear
deer|book cliffs|alw,Deer,Book Cliffs,ALW,4.0,,4.0,CP-DEER-BOOK-CLIFFS-BUCK-HUNTER-S-CHOICE;CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON;CP-DEER-BOOK-CLIFFS-BUCK-HUNTER-S-CHOICE;CP-DEER-BOOK-CLIFFS-BUCK-MULTISEASON,active_only,deer|book cliffs|alw,Deer
deer|book cliffs|archery,Deer,Book Cliffs,Archery,2.0,2.0,2.0,CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY;CP-DEER-BOOK-CLIFFS-BUCK-ARCHERY,match,deer|book cliffs|archery,Deer
deer|book cliffs|muzzleloader,Deer,Book Cliffs,Muzzleloader,2.0,2.0,2.0,CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER;CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER,match,deer|book cliffs|muzzleloader,Deer
deer|diamond mountain|archery,Deer,Diamond Mtn,Archery,1.0,1.0,1.0,CP-DEER-DIAMOND-MTN-BUCK-ARCHERY,match,deer|diamond mountain|archery,Deer
deer|diamond mountain|alw,Deer,Diamond Mtn,ALW,4.0,,3.0,CP-DEER-DIAMOND-MTN-BUCK-HUNTER-S-CHOICE;CP-DEER-DIAMOND-MTN-BUCK-MULTISEASON;CP-DEER-DIAMOND-MTN-BUCK-HUNTER-S-CHOICE,active_only,deer|diamond mountain|alw,Deer
deer|diamond mountain|muzzleloader,Deer,Diamond Mtn,Muzzleloader,1.0,1.0,1.0,CP-DEER-DIAMOND-MTN-BUCK-MUZZLELOADER,match,deer|diamond mountain|muzzleloader,Deer
