key,species,area,condition,active_permit_count,extracted_permit_count,active_rows,active_hunt_codes,compare_status,match_key,species_original
bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1.0,1.0,1.0,CP-BISON-BOOK-CLIFFS-BITTER-CREEK-HUNTER-S-CHOICE--ANY-LEGAL-WEAPON,match,bison|book cliffs bitter creek hunter s choice|any legal weapon,Bison
elk|mt dutton|alw,Elk,Mt Dutton,ALW,2.0,,2.0,CP-ELK-MT-DUTTON-BULL-MULTISEASON;CP-ELK-MT-DUTTON-BULL-HUNTER-S-CHOICE,active_only,elk|mt dutton|alw,Elk
elk|mt dutton|any legal weapon late,Elk,Mt Dutton,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-MT-DUTTON-BULL-ANY-LEGAL-WEAPON,match,elk|mt dutton|any legal weapon late,Elk
elk|nebo san pitch mountains|alw,Elk,Nebo/San Pitch Mtns,ALW,2.0,,2.0,CP-ELK-NEBO-SAN-PITCH-MTNS-BULL-HUNTER-S-CHOICE;CP-ELK-NEBO-SAN-PITCH-MTNS-BULL-MULTISEASON,active_only,elk|nebo san pitch mountains|alw,Elk
elk|nebo san pitch mountains|any legal weapon late,Elk,Nebo/San Pitch Mtns,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-NEBO-SAN-PITCH-MTNS-BULL-ANY-LEGAL-WEAPON,match,elk|nebo san pitch mountains|any legal weapon late,Elk
elk|nebo san pitch mountains|archery,Elk,Nebo/San Pitch Mtns,Archery,1.0,1.0,1.0,CP-ELK-NEBO-SAN-PITCH-MTNS-BULL-ARCHERY,match,elk|nebo san pitch mountains|archery,Elk
elk|north slope three corners|alw,Elk,"North Slope, Three Corners",ALW,1.0,,1.0,CP-ELK-NORTH-SLOPE-THREE-CORNERS-BULL-MULTISEASON,active_only,elk|north slope three corners|alw,Elk
elk|panguitch lake|any legal weapon late,Elk,Panguitch Lake,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-PANGUITCH-LAKE-BULL-ANY-LEGAL-WEAPON,match,elk|panguitch lake|any legal weapon late,Elk
elk|panguitch lake|alw,Elk,Panguitch Lake,ALW,2.0,,2.0,CP-ELK-PANGUITCH-LAKE-BULL-MULTISEASON;CP-ELK-PANGUITCH-LAKE-BULL-HUNTER-S-CHOICE,active_only,elk|panguitch lake|alw,Elk
elk|san juan bull elk|archery,Elk,San Juan Bull Elk,Archery,1.0,1.0,1.0,CP-ELK-SAN-JUAN-BULL-ELK-BULL-ARCHERY,match,elk|san juan bull elk|archery,Elk
elk|san juan bull elk|alw,Elk,San Juan Bull Elk,ALW,2.0,,2.0,CP-ELK-SAN-JUAN-BULL-ELK-BULL-HUNTER-S-CHOICE;CP-ELK-SAN-JUAN-BULL-ELK-BULL-MULTISEASON,active_only,elk|san juan bull elk|alw,Elk
elk|san juan bull elk|any legal weapon late,Elk,San Juan Bull Elk,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-SAN-JUAN-BULL-ELK-BULL-ANY-LEGAL-WEAPON,match,elk|san juan bull elk|any legal weapon late,Elk
elk|san juan bull elk|any legal weapon mid,Elk,San Juan Bull Elk,"Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-SAN-JUAN-BULL-ELK-BULL-ANY-LEGAL-WEAPON,match,elk|san juan bull elk|any legal weapon mid,Elk
elk|southwest desert south|any legal weapon late,Elk,"Southwest Desert, South","Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-ANY-LEGAL-WEAPON,match,elk|southwest desert south|any legal weapon late,Elk
elk|southwest desert south|alw,Elk,"Southwest Desert, South",ALW,3.0,,3.0,CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-MULTISEASON;CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-MULTISEASON;CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-HUNTER-S-CHOICE,active_only,elk|southwest desert south|alw,Elk
elk|southwest desert south|muzzleloader,Elk,"Southwest Desert, South",Muzzleloader,1.0,1.0,1.0,CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-MUZZLELOADER,match,elk|southwest desert south|muzzleloader,Elk
elk|southwest desert south|any legal weapon mid,Elk,"Southwest Desert, South","Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-ANY-LEGAL-WEAPON,match,elk|southwest desert south|any legal weapon mid,Elk
elk|southwest desert south|archery,Elk,"Southwest Desert, South",Archery,1.0,1.0,1.0,CP-ELK-SOUTHWEST-DESERT-SOUTH-BULL-ARCHERY,match,elk|southwest desert south|archery,Elk
elk|statewide|any legal weapon,Elk,Statewide,Any Legal Weapon,1.0,,1.0,CP-ELK-STATEWIDE-BULL-ANY-LEGAL-WEAPON,active_only,elk|statewide|any legal weapon,Elk
antlerless elk|wasatch mountains|any legal weapon,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,4.0,4.0,3.0,CP-ELK-WASATCH-MTNS-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-WASATCH-MTNS-ANTLERLESS-ANY-LEGAL-WEAPON;CP-ELK-WASATCH-MTNS-ANTLERLESS-ANY-LEGAL-WEAPON,match,antlerless elk|wasatch mountains|any legal weapon,Antlerless Elk
elk|wasatch mountains|alw,Elk,Wasatch Mtns,ALW,4.0,,3.0,CP-ELK-WASATCH-MTNS-BULL-MULTISEASON;CP-ELK-WASATCH-MTNS-BULL-MULTISEASON;CP-ELK-WASATCH-MTNS-BULL-HUNTER-S-CHOICE,active_only,elk|wasatch mountains|alw,Elk
elk|wasatch mountains|muzzleloader,Elk,Wasatch Mtns,Muzzleloader,1.0,1.0,1.0,CP-ELK-WASATCH-MTNS-BULL-MUZZLELOADER,match,elk|wasatch mountains|muzzleloader,Elk
elk|wasatch mountains|any legal weapon late,Elk,Wasatch Mtns,"Any Legal Weapon, late",1.0,1.0,1.0,CP-ELK-WASATCH-MTNS-BULL-ANY-LEGAL-WEAPON,match,elk|wasatch mountains|any legal weapon late,Elk
elk|wasatch mountains|any legal weapon mid,Elk,Wasatch Mtns,"Any Legal Weapon, mid",1.0,1.0,1.0,CP-ELK-WASATCH-MTNS-BULL-ANY-LEGAL-WEAPON,match,elk|wasatch mountains|any legal weapon mid,Elk
elk|wasatch mountains|archery,Elk,Wasatch Mtns,Archery,1.0,1.0,1.0,CP-ELK-WASATCH-MTNS-BULL-ARCHERY,match,elk|wasatch mountains|archery,Elk
moose|cache|any legal weapon,Moose,Cache,Any Legal Weapon,1.0,1.0,1.0,CP-MOOSE-CACHE-BULL-ANY-LEGAL-WEAPON,match,moose|cache|any legal weapon,Moose
moose|north slope summit|any legal weapon,Moose,"North Slope, Summit",Any Legal Weapon,2.0,2.0,2.0,CP-MOOSE-NORTH-SLOPE-SUMMIT-BULL-ANY-LEGAL-WEAPON;CP-MOOSE-NORTH-SLOPE-SUMMIT-BULL-ANY-LEGAL-WEAPON,match,moose|north slope summit|any legal weapon,Moose
moose|statewide|any legal weapon,Moose,Statewide,Any Legal Weapon,1.0,,1.0,CP-MOOSE-STATEWIDE-BULL-ANY-LEGAL-WEAPON,active_only,moose|statewide|any legal weapon,Moose
moose|wasatch mountains central mountains|any legal weapon,Moose,Wasatch Mtns/Central Mtns,Any Legal Weapon,1.0,1.0,1.0,CP-MOOSE-WASATCH-MTNS-CENTRAL-MTNS-BULL-ANY-LEGAL-WEAPON,match,moose|wasatch mountains central mountains|any legal weapon,Moose
mountain goat|beaver early|any legal weapon early,Mountain Goat,Beaver (early),"Any Legal Weapon, early",1.0,1.0,1.0,CP-MOUNTAIN-GOAT-BEAVER-EARLY-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,match,mountain goat|beaver early|any legal weapon early,Mountain Goat
mountain goat|high uintas west|any legal weapon,Mountain Goat,High Uintas West,Any Legal Weapon,1.0,1.0,1.0,CP-MOUNTAIN-GOAT-HIGH-UINTAS-WEST-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,match,mountain goat|high uintas west|any legal weapon,Mountain Goat
mountain goat|la sal la sal mountains|any legal weapon,Mountain Goat,"La Sal, La Sal Mtns",Any Legal Weapon,1.0,1.0,1.0,CP-MOUNTAIN-GOAT-LA-SAL-LA-SAL-MTNS-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,match,mountain goat|la sal la sal mountains|any legal weapon,Mountain Goat
mountain goat|nebo|archery,Mountain Goat,Nebo,Archery,1.0,1.0,1.0,CP-MOUNTAIN-GOAT-NEBO-HUNTER-S-CHOICE-ARCHERY,match,mountain goat|nebo|archery,Mountain Goat
mountain goat|nebo|any legal weapon,Mountain Goat,Nebo,Any Legal Weapon,1.0,1.0,1.0,CP-MOUNTAIN-GOAT-NEBO-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,match,mountain goat|nebo|any legal weapon,Mountain Goat
mountain goat|statewide|any legal weapon,Mountain Goat,Statewide,Any Legal Weapon,1.0,,1.0,CP-MOUNTAIN-GOAT-STATEWIDE-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,active_only,mountain goat|statewide|any legal weapon,Mountain Goat
mountain goat|wasatch mountains timpanogos|any legal weapon,Mountain Goat,"Wasatch Mtns, Timpanogos",Any Legal Weapon,1.0,1.0,1.0,CP-MOUNTAIN-GOAT-WASATCH-MTNS-TIMPANOGOS-HUNTER-S-CHOICE-ANY-LEGAL-WEAPON,match,mountain goat|wasatch mountains timpanogos|any legal weapon,Mountain Goat
pronghorn|beaver|alw,Pronghorn,Beaver,ALW,2.0,,2.0,CP-PRONGHORN-BEAVER-BUCK-HUNTER-S-CHOICE;CP-PRONGHORN-BEAVER-BUCK-HUNTER-S-CHOICE,active_only,pronghorn|beaver|alw,Pronghorn
pronghorn|book cliffs bitter creek|any legal weapon,Pronghorn,"Book Cliffs, Bitter Creek",Any Legal Weapon,3.0,3.0,3.0,CP-PRONGHORN-BOOK-CLIFFS-BITTER-CREEK-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-BOOK-CLIFFS-BITTER-CREEK-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-BOOK-CLIFFS-BITTER-CREEK-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|book cliffs bitter creek|any legal weapon,Pronghorn
pronghorn|book cliffs south|any legal weapon,Pronghorn,"Book Cliffs, South",Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-BOOK-CLIFFS-SOUTH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-BOOK-CLIFFS-SOUTH-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|book cliffs south|any legal weapon,Pronghorn
pronghorn|box elder promontory|any legal weapon,Pronghorn,"Box Elder, Promontory",Any Legal Weapon,1.0,1.0,1.0,CP-PRONGHORN-BOX-ELDER-PROMONTORY-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|box elder promontory|any legal weapon,Pronghorn
pronghorn|box elder puddle valley|any legal weapon,Pronghorn,"Box Elder, Puddle Valley",Any Legal Weapon,1.0,1.0,1.0,CP-PRONGHORN-BOX-ELDER-PUDDLE-VALLEY-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|box elder puddle valley|any legal weapon,Pronghorn
pronghorn|box elder snowville|any legal weapon,Pronghorn,"Box Elder, Snowville",Any Legal Weapon,2.0,2.0,1.0,CP-PRONGHORN-BOX-ELDER-SNOWVILLE-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|box elder snowville|any legal weapon,Pronghorn
pronghorn|box elder west|any legal weapon,Pronghorn,"Box Elder, West",Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-BOX-ELDER-WEST-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-BOX-ELDER-WEST-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|box elder west|any legal weapon,Pronghorn
pronghorn|fillmore oak creek south|any legal weapon,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,3.0,3.0,3.0,CP-PRONGHORN-FILLMORE-OAK-CREEK-SOUTH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-FILLMORE-OAK-CREEK-SOUTH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-FILLMORE-OAK-CREEK-SOUTH-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|fillmore oak creek south|any legal weapon,Pronghorn
pronghorn|la sal potash south cisco|any legal weapon,Pronghorn,"La Sal, Potash/South Cisco",Any Legal Weapon,1.0,1.0,1.0,CP-PRONGHORN-LA-SAL-POTASH-SOUTH-CISCO-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|la sal potash south cisco|any legal weapon,Pronghorn
pronghorn|mt dutton paunsaugunt|any legal weapon,Pronghorn,Mt Dutton/Paunsaugunt,Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-MT-DUTTON-PAUNSAUGUNT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-MT-DUTTON-PAUNSAUGUNT-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|mt dutton paunsaugunt|any legal weapon,Pronghorn
pronghorn|nine mile anthro myton bench|any legal weapon,Pronghorn,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,7.0,7.0,4.0,CP-PRONGHORN-NINE-MILE-ANTHRO-MYTON-BENCH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-NINE-MILE-ANTHRO-MYTON-BENCH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-NINE-MILE-ANTHRO-MYTON-BENCH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-NINE-MILE-ANTHRO-MYTON-BENCH-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|nine mile anthro myton bench|any legal weapon,Pronghorn
pronghorn|nine mile range creek|any legal weapon,Pronghorn,"Nine Mile, Range Creek",Any Legal Weapon,1.0,1.0,1.0,CP-PRONGHORN-NINE-MILE-RANGE-CREEK-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|nine mile range creek|any legal weapon,Pronghorn
pronghorn|north slope summit|any legal weapon,Pronghorn,"North Slope, Summit",Any Legal Weapon,1.0,1.0,1.0,CP-PRONGHORN-NORTH-SLOPE-SUMMIT-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|north slope summit|any legal weapon,Pronghorn
pronghorn|north slope three corners west daggett|any legal weapon,Pronghorn,"North Slope, Three Corners/West Daggett",Any Legal Weapon,3.0,3.0,2.0,CP-PRONGHORN-NORTH-SLOPE-THREE-CORNERS-WEST-DAGGETT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-NORTH-SLOPE-THREE-CORNERS-WEST-DAGGETT-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|north slope three corners west daggett|any legal weapon,Pronghorn
pronghorn|panguitch lake zion north|any legal weapon,Pronghorn,"Panguitch Lake/Zion, North",Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-PANGUITCH-LAKE-ZION-NORTH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-PANGUITCH-LAKE-ZION-NORTH-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|panguitch lake zion north|any legal weapon,Pronghorn
pronghorn|parker mountain|any legal weapon,Pronghorn,Parker Mtn,Any Legal Weapon,4.0,4.0,2.0,CP-PRONGHORN-PARKER-MTN-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-PARKER-MTN-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|parker mountain|any legal weapon,Pronghorn
pronghorn|pine valley|any legal weapon,Pronghorn,Pine Valley,Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-PINE-VALLEY-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-PINE-VALLEY-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|pine valley|any legal weapon,Pronghorn
pronghorn|san rafael north|any legal weapon,Pronghorn,"San Rafael, North",Any Legal Weapon,5.0,5.0,2.0,CP-PRONGHORN-SAN-RAFAEL-NORTH-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SAN-RAFAEL-NORTH-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|san rafael north|any legal weapon,Pronghorn
pronghorn|southwest desert|any legal weapon,Pronghorn,Southwest Desert,Any Legal Weapon,8.0,8.0,6.0,CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-SOUTHWEST-DESERT-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|southwest desert|any legal weapon,Pronghorn
pronghorn|statewide|any legal weapon,Pronghorn,Statewide,Any Legal Weapon,1.0,,1.0,CP-PRONGHORN-STATEWIDE-BUCK-ANY-LEGAL-WEAPON,active_only,pronghorn|statewide|any legal weapon,Pronghorn
pronghorn|vernal|any legal weapon,Pronghorn,Vernal,Any Legal Weapon,5.0,5.0,4.0,CP-PRONGHORN-VERNAL-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-VERNAL-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-VERNAL-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-VERNAL-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|vernal|any legal weapon,Pronghorn
pronghorn|west desert riverbed|any legal weapon,Pronghorn,"West Desert, Riverbed",Any Legal Weapon,4.0,4.0,3.0,CP-PRONGHORN-WEST-DESERT-RIVERBED-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-WEST-DESERT-RIVERBED-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-WEST-DESERT-RIVERBED-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|west desert riverbed|any legal weapon,Pronghorn
pronghorn|west desert rush valley|any legal weapon,Pronghorn,"West Desert, Rush Valley",Any Legal Weapon,2.0,2.0,2.0,CP-PRONGHORN-WEST-DESERT-RUSH-VALLEY-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-WEST-DESERT-RUSH-VALLEY-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|west desert rush valley|any legal weapon,Pronghorn
pronghorn|west desert snake valley|any legal weapon,Pronghorn,"West Desert, Snake Valley",Any Legal Weapon,5.0,5.0,3.0,CP-PRONGHORN-WEST-DESERT-SNAKE-VALLEY-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-WEST-DESERT-SNAKE-VALLEY-BUCK-ANY-LEGAL-WEAPON;CP-PRONGHORN-WEST-DESERT-SNAKE-VALLEY-BUCK-ANY-LEGAL-WEAPON,match,pronghorn|west desert snake valley|any legal weapon,Pronghorn
rocky mountain bighorn sheep|book cliffs south|any legal weapon,Rocky Mountain Bighorn Sheep,"Book Cliffs, South",Any Legal Weapon,1.0,1.0,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-BOOK-CLIFFS-SOUTH-RAM-ANY-LEGAL-WEAPON,match,rocky mountain bighorn sheep|book cliffs south|any legal weapon,Rocky Mountain Bighorn Sheep
rocky mountain bighorn sheep|box elder newfoundland mountains early|any legal weapon,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (early)",Any Legal Weapon,1.0,1.0,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-BOX-ELDER-NEWFOUNDLAND-MTNS-EARLY-RAM-ANY-LEGAL-WEAPON,match,rocky mountain bighorn sheep|box elder newfoundland mountains early|any legal weapon,Rocky Mountain Bighorn Sheep
rocky mountain bighorn sheep|box elder newfoundland mountains late|any legal weapon,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtns (late)",Any Legal Weapon,1.0,1.0,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-BOX-ELDER-NEWFOUNDLAND-MTNS-LATE-RAM-ANY-LEGAL-WEAPON,match,rocky mountain bighorn sheep|box elder newfoundland mountains late|any legal weapon,Rocky Mountain Bighorn Sheep
rocky mountain bighorn sheep|fillmore oak creek late|any legal weapon,Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek (late)",Any Legal Weapon,1.0,1.0,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-FILLMORE-OAK-CREEK-LATE-RAM-ANY-LEGAL-WEAPON,match,rocky mountain bighorn sheep|fillmore oak creek late|any legal weapon,Rocky Mountain Bighorn Sheep
rocky mountain bighorn sheep|nine mile gray canyon|any legal weapon,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon",Any Legal Weapon,1.0,1.0,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-NINE-MILE-GRAY-CANYON-RAM-ANY-LEGAL-WEAPON,match,rocky mountain bighorn sheep|nine mile gray canyon|any legal weapon,Rocky Mountain Bighorn Sheep
rocky mountain bighorn sheep|statewide|any legal weapon,Rocky Mountain Bighorn Sheep,Statewide,Any Legal Weapon,1.0,,1.0,CP-ROCKY-MOUNTAIN-BIGHORN-SHEEP-STATEWIDE-RAM-ANY-LEGAL-WEAPON,active_only,rocky mountain bighorn sheep|statewide|any legal weapon,Rocky Mountain Bighorn Sheep
turkey|central area|alw,Turkey,Central Area,ALW,8.0,,3.0,CP-TURKEY-CENTRAL-AREA-BEARDED-MULTISEASON;CP-TURKEY-CENTRAL-AREA-BEARDED-MULTISEASON;CP-TURKEY-CENTRAL-AREA-BEARDED-MULTISEASON,active_only,turkey|central area|alw,Turkey
turkey|northeastern area|alw,Turkey,Northeastern Area,ALW,8.0,,3.0,CP-TURKEY-NORTHEASTERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHEASTERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHEASTERN-AREA-BEARDED-MULTISEASON,active_only,turkey|northeastern area|alw,Turkey
turkey|northern area|alw,Turkey,Northern Area,ALW,8.0,,5.0,CP-TURKEY-NORTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-NORTHERN-AREA-BEARDED-MULTISEASON,active_only,turkey|northern area|alw,Turkey
turkey|southeastern area|alw,Turkey,Southeastern Area,ALW,8.0,,2.0,CP-TURKEY-SOUTHEASTERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-SOUTHEASTERN-AREA-BEARDED-MULTISEASON,active_only,turkey|southeastern area|alw,Turkey
turkey|southern area|alw,Turkey,Southern Area,ALW,8.0,,4.0,CP-TURKEY-SOUTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-SOUTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-SOUTHERN-AREA-BEARDED-MULTISEASON;CP-TURKEY-SOUTHERN-AREA-BEARDED-MULTISEASON,active_only,turkey|southern area|alw,Turkey
turkey|statewide|any legal weapon,Turkey,Statewide,Any Legal Weapon,1.0,,1.0,CP-TURKEY-STATEWIDE-BEARDED-ANY-LEGAL-WEAPON,active_only,turkey|statewide|any legal weapon,Turkey
bear|beaver|multiseason,Black Bear,Beaver,Multiseason,,1.0,,,extracted_only,bear|beaver|multiseason,Bear
bear|book cliffs bitter creek south|multiseason,Black Bear,"Book Cliffs, Bitter Creek/South",Multiseason,,4.0,,,extracted_only,bear|book cliffs bitter creek south|multiseason,Bear
bear|book cliffs little creek roadless|multiseason,Black Bear,"Book Cliffs, Little Creek Roadless",Multiseason,,1.0,,,extracted_only,bear|book cliffs little creek roadless|multiseason,Bear
bear|boulder kaiparowits|multiseason,Black Bear,Boulder/Kaiparowits,Multiseason,,4.0,,,extracted_only,bear|boulder kaiparowits|multiseason,Bear
bear|chalk creek east canyon morgan south rich|multiseason,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,,1.0,,,extracted_only,bear|chalk creek east canyon morgan south rich|multiseason,Bear
bear|diamond mountain vernal bonanza|multiseason,Black Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,,2.0,,,extracted_only,bear|diamond mountain vernal bonanza|multiseason,Bear
bear|fishlake thousand lakes|multiseason,Black Bear,Fishlake/Thousand Lakes,Multiseason,,1.0,,,extracted_only,bear|fishlake thousand lakes|multiseason,Bear
bear|kamas north slope summit|multiseason,Black Bear,"Kamas/North Slope, Summit",Multiseason,,1.0,,,extracted_only,bear|kamas north slope summit|multiseason,Bear
bear|la sal|multiseason,Black Bear,La Sal,Multiseason,,4.0,,,extracted_only,bear|la sal|multiseason,Bear
bear|manti north|multiseason,Black Bear,Manti-North,Multiseason,,3.0,,,extracted_only,bear|manti north|multiseason,Bear
bear|manti south san rafael north|multiseason,Black Bear,"Manti-South/San Rafael, North",Multiseason,,3.0,,,extracted_only,bear|manti south san rafael north|multiseason,Bear
bear|nebo|multiseason,Black Bear,Nebo,Multiseason,,1.0,,,extracted_only,bear|nebo|multiseason,Bear
bear|nine mile|multiseason,Black Bear,Nine Mile,Multiseason,,4.0,,,extracted_only,bear|nine mile|multiseason,Bear
bear|panguitch lake zion|multiseason,Black Bear,Panguitch Lake/Zion,Multiseason,,1.0,,,extracted_only,bear|panguitch lake zion|multiseason,Bear
bear|paunsaugunt|multiseason,Black Bear,Paunsaugunt,Multiseason,,1.0,,,extracted_only,bear|paunsaugunt|multiseason,Bear
bear|san juan|multiseason,Black Bear,San Juan,Multiseason,,4.0,,,extracted_only,bear|san juan|multiseason,Bear
bear|statewide|multiseason,Black Bear,Statewide,Multiseason,,1.0,,,extracted_only,bear|statewide|multiseason,Bear
bear|wasatch mountains avintaquin currant creek|multiseason,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,,2.0,,,extracted_only,bear|wasatch mountains avintaquin currant creek|multiseason,Bear
bear|wasatch mountains west central|multiseason,Black Bear,"Wasatch Mtns, West-Central",Multiseason,,4.0,,,extracted_only,bear|wasatch mountains west central|multiseason,Bear
bear|yellowstone|multiseason,Black Bear,Yellowstone,Multiseason,,1.0,,,extracted_only,bear|yellowstone|multiseason,Bear
deer|book cliffs|hunter s choice,Deer,Book Cliffs,Hunter's Choice,,2.0,,,extracted_only,deer|book cliffs|hunter s choice,Deer
deer|book cliffs|multiseason,Deer,Book Cliffs,Multiseason,,2.0,,,extracted_only,deer|book cliffs|multiseason,Deer
deer|diamond mountain|hunter s choice,Deer,Diamond Mtn,Hunter's Choice,,2.0,,,extracted_only,deer|diamond mountain|hunter s choice,Deer
deer|diamond mountain|multiseason,Deer,Diamond Mtn,Multiseason,,2.0,,,extracted_only,deer|diamond mountain|multiseason,Deer
deer|fillmore oak creek le|hunter s choice,Deer,"Fillmore, Oak Creek LE",Hunter's Choice,,1.0,,,extracted_only,deer|fillmore oak creek le|hunter s choice,Deer
deer|fillmore oak creek le|multiseason,Deer,"Fillmore, Oak Creek LE",Multiseason,,1.0,,,extracted_only,deer|fillmore oak creek le|multiseason,Deer
deer|henry mountains|hunter s choice,Deer,Henry Mtns,Hunter's Choice,,1.0,,,extracted_only,deer|henry mountains|hunter s choice,Deer
deer|henry mountains|multiseason,Deer,Henry Mtns,Multiseason,,1.0,,,extracted_only,deer|henry mountains|multiseason,Deer
deer|la sal dolores triangle|multiseason,Deer,"La Sal, Dolores Triangle",Multiseason,,1.0,,,extracted_only,deer|la sal dolores triangle|multiseason,Deer
