Unit name,Year,n,Calves per 100 cows,Bulls per 100 cows,Mature bulls per 100 cows,source_page
2015–16 1258 — 31* 13*,2016–17,,,,,1
2015–16 1258 — 31* 13*,2017–18,,,,,1
2018–19 1485 — 34* 23*,2019–20,,,,,1
2018–19 1485 — 34* 23*,2020–21,,,,,1
2021–22 644 — 84* 59*,2022–23,,,,,1
2021–22 644 — 84* 59*,2023–24,,,,,1
2021–22 644 — 84* 59*,2024–25,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2015–16,3224,40,20,7,1
"Book Cliffs, Bitter Creek/Little Creek",2016–17,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2017–18,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2018–19,2095,19,9,,1
"Book Cliffs, Bitter Creek/Little Creek",2019–20,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2020–21,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2021–22,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2022–23,1562,28,21,4,1
"Book Cliffs, Bitter Creek/Little Creek",2023–24,,,,,1
"Book Cliffs, Bitter Creek/Little Creek",2024–25,,,,,1
"Book Cliffs, South",2015–16,949,32,23,8,2
"Book Cliffs, South",2016–17,,,,,2
"Book Cliffs, South",2017–18,,,,,2
"Book Cliffs, South",2018–19,876,17,19,8,2
"Book Cliffs, South",2019–20,,,,,2
"Book Cliffs, South",2020–21,,,,,2
"Book Cliffs, South",2021–22,,,,,2
2022–23 967 — 11* —,2023–24,,,,,2
2022–23 967 — 11* —,2024–25,,,,,2
Boulder,2015–16,333,,,,2
Boulder,2016–17,,,,,2
Boulder,2017–18,,,,,2
Boulder,2018–19,,,,,2
2019–20 718 — 27* 13*,2020–21,,,,,2
2019–20 718 — 27* 13*,2021–22,,,,,2
2022–23 1293 — 18* —,2023–24,,,,,2
2022–23 1293 — 18* —,2024–25,,,,,2
"Box Elder, West",2015–16,,,,,3
"Box Elder, West",2016–17,,,,,3
