Unit,Unit name,Bull harvest,Cow harvest,Calf harvest,Total harvest,Hunters afield,Success rate (%)
1,Box Elder,0,0,0,0,32,0.0
2,Cache,4,0,0,4,57,7.0
5,East Canyon,5,1,1,7,595,1.2
9B,Vernal/Bonanza,11,2,0,13,177,7.3
17,Wasatch Mtns,10,2,0,12,817,1.5
9A,Yellowstone,3,2,0,5,116,4.3
