page,source_file,source_name,draw,entity_type,hunt_code,hunt_title,hunt_name,unit,weapon,species,residency,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio_text,success_odds_1_in,success_probability
1,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,species_summary,,,,,,LIMITED ENTRY DEER - All Applicants,resident,34678,676,691,1367,1 in 25.4,25.4,0.03937007874015748
1,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,species_summary,,,,,,LIMITED ENTRY DEER - All Applicants,nonresident,17239,54,74,128,1 in 134.7,134.7,0.007423904974016333
2,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,Premium Le Archery Buck Deer,Henry Mtns,Archery,,resident,482,5,4,9,1 in 53.6,53.6,0.018656716417910446
2,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,Premium Le Archery Buck Deer,Henry Mtns,Archery,,nonresident,786,0,1,1,1 in 786.0,786.0,0.001272264631043257
3,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,Premium Le Archery Buck Deer,Paunsaugunt,Archery,,resident,734,12,11,23,1 in 31.9,31.9,0.031347962382445145
3,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,Premium Le Archery Buck Deer,Paunsaugunt,Archery,,nonresident,884,2,1,3,1 in 294.7,294.7,0.0033932813030200207
6,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Premium Le Alw (rifle) Buck Deer,Paunsaugunt,Any Legal Weapon,,resident,4004,34,33,67,1 in 59.8,59.8,0.016722408026755852
6,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Premium Le Alw (rifle) Buck Deer,Paunsaugunt,Any Legal Weapon,,nonresident,3566,4,3,7,1 in 509.4,509.4,0.0019630938358853552
7,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1005,Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader,Premium Le Muzzleloader Buck Deer,Henry Mtns,Muzzleloader,,resident,421,5,4,9,1 in 46.8,46.8,0.021367521367521368
7,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1005,Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader,Premium Le Muzzleloader Buck Deer,Henry Mtns,Muzzleloader,,nonresident,523,0,1,1,1 in 523.0,523.0,0.0019120458891013384
8,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,Premium Le Muzzleloader Buck Deer,Paunsaugunt,Muzzleloader,,resident,575,12,11,23,1 in 25.0,25.0,0.04
8,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,Premium Le Muzzleloader Buck Deer,Paunsaugunt,Muzzleloader,,nonresident,383,2,1,3,1 in 127.7,127.7,0.007830853563038372
9,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,Multi-season Premium Limited-entry Buck Deer,Henry Mtns,Any Legal Weapon,,resident,540,0,1,1,1 in 540.0,540.0,0.001851851851851852
9,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,Multi-season Premium Limited-entry Buck Deer,Henry Mtns,Any Legal Weapon,,nonresident,0,0,0,0,N/A,,
10,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,Multi-season Premium Limited-entry Buck Deer,Paunsaugunt,Any Legal Weapon,,resident,518,2,2,4,1 in 129.5,129.5,0.007722007722007722
10,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,Multi-season Premium Limited-entry Buck Deer,Paunsaugunt,Any Legal Weapon,,nonresident,0,0,0,0,N/A,,
11,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Management Alw (rifle) Buck Deer,Paunsaugunt,Any Legal Weapon,,resident,496,9,8,17,1 in 29.2,29.2,0.03424657534246575
11,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Management Alw (rifle) Buck Deer,Paunsaugunt,Any Legal Weapon,,nonresident,205,1,1,2,1 in 102.5,102.5,0.00975609756097561
12,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,Limited-entry Archery Buck Deer,Book Cliffs,Archery,,resident,757,20,19,39,1 in 19.4,19.4,0.051546391752577324
12,24_bg-draw-results.pdf,big_game_draw_results,2024 Draw 5,hunt,DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery,Limited-entry Archery Buck Deer,Book Cliffs,Archery,,nonresident,256,2,1,3,1 in 85.3,85.3,0.011723329425556858
