hunt_code,huntCode,code,title,hunt_name,species,sex_type,weapon,hunt_type,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,boundary_id,boundaryId,unitCode,resolvedBoundaryIds,draw_family,data_status,source_authority,youth_flag,eligibility_class,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_draw_source,permits_2025_source,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_total,unitName,boundary_id_numeric,boundary_token,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6527,BI6527,BI6527,Nine Mile,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,General Season,"Aug 1, 2025 - Jan 31, 2026",,,,,615,615,615,615,O.T.C.,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,official_uploaded_source,False,STANDARD,,,,,,,15.0,0.0,0.0,9.0,3.6,Public,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_bison_either-sex.xlsx; no quota or permit total published in uploaded source.,True,False,False,bison bull.csv,2026_bison_either-sex.xlsx,,,,,,,Nine Mile,615,615,,,,,,,,,,,,
BI6538,BI6538,BI6538,"Nine Mile, Private Lands Only","Nine Mile, Private Lands Only",Bison,Hunters Choice,Any Legal Weapon,General Season,General Season,"Aug 1, 2025 - Jan 31, 2026",,,,,615,615,615,615,Allocation,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,official_uploaded_source,False,STANDARD,,,,,,,,,,,,Private,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,Utah DWR Hunt Planner source confirms hunt in 2026_bison_either-sex.xlsx; no quota or permit total published in uploaded source.,,,,bison bull.csv,2026_bison_either-sex.xlsx,,,,,,,"Nine Mile, Private Lands Only",615,615,,,,,,,,,,,,
BI6505,BI6505,BI6505,Henry Mtns,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,8,3,11,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,25,3,28,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,28.0,22.0,78.6,4.0,4.0,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.,True,False,False,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,25,3,538,4,Bonus Point Draw Results,28,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6506,BI6506,BI6506,Henry Mtns,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,"Dec 23, 2026 - Jan 3, 2027",11,0,11,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,30,0,30,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,29.0,27.0,93.1,5.5,4.3,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.,True,False,False,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,30,0,539,5,Bonus Point Draw Results,30,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6529,BI6529,BI6529,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 17 2026 - Oct 27 2026,8,0,8,,889,889,889,889,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,8,0,8,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,5.0,4.0,80.0,1.8,4.8,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.,True,False,False,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,8,0,543,9,Bonus Point Draw Results,8,"Book Cliffs, Little Creek/South",889,889,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6536,BI6536,BI6536,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,15,0,15,,667,667,667,667,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,2,0,2,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,3.0,2.0,66.7,4.3,4.7,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.,True,False,False,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,2,0,548,14,Bonus Point Draw Results,2,"Book Cliffs, Bitter Creek",667,667,2026_RAC_CURRENT_YEAR_ALLOTMENT,15,0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,15,0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6539,BI6539,BI6539,Henry Mtns,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,"Jan 6 - 17, 2027",11,0,11,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,,,,,,,,,,,,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_cow_only.xlsx.,,,,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,,,,,,,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,BI6500,BI6500,Antelope Island,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,,1,1,1,1,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,2,0,2,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,2.0,2.0,100.0,1.0,5.0,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,2,0,535,1,Bonus Point Draw Results,2,Antelope Island,1,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6503,BI6503,BI6503,Henry Mtns,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,4,2,6,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,4,2,6,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,15.0,14.0,93.3,2.4,4.6,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,4,2,536,2,Bonus Point Draw Results,6,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,4,2,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6504,BI6504,BI6504,Henry Mtns,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 11 2026 - Nov 22 2026,5,2,7,,94,94,94,94,Limited Entry,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,official_uploaded_source,False,OIL,5,2,7,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,,13.0,13.0,100.0,4.5,4.2,Public,FULL_SPLIT,DRAW_RES_NR_SPLIT,2026 RAC current-year allotment,2026 resident/nonresident permit split from Utah DWR Hunt Planner export 2026_bison_either-sex.xlsx.,True,False,False,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,5,2,537,3,Bonus Point Draw Results,7,Henry Mtns,94,94,2026_RAC_CURRENT_YEAR_ALLOTMENT,5,2,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,5,2,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
