reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,bull_harvest,cow_harvest,calf_harvest,harvest_total,permits,hunters_afield,percent_success,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
1950,1951,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,6.0,4.0,0.0,10.0,10.0,10.0,100.0,1950 6 4 0 10 10 10 100.0,True,True,True
1951,1952,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1951 — — — — — — —,True,True,True
1952,1953,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1952 — — — — — — —,True,True,True
1953,1954,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1953 — — — — — — —,True,True,True
1954,1955,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1954 — — — — — — —,True,True,True
1955,1956,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1955 — — — — — — —,True,True,True
1956,1957,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1956 — — — — — — —,True,True,True
1957,1958,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1957 — — — — — — —,True,True,True
1958,1959,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1958 — — — — — — —,True,True,True
1959,1960,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1959 — — — — — — —,True,True,True
1960,1961,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,7.0,3.0,0.0,10.0,10.0,10.0,100.0,1960 7 3 0 10 10 10 100.0,True,True,True
1961,1962,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,8.0,4.0,0.0,12.0,12.0,12.0,100.0,1961 8 4 0 12 12 12 100.0,True,True,True
1962,1963,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,9.0,11.0,0.0,20.0,20.0,20.0,100.0,1962 9 11 0 20 20 20 100.0,True,True,True
1963,1964,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,1.0,6.0,0.0,7.0,14.0,14.0,50.0,1963 1 6 0 7 14 14 50.0,True,True,True
1964,1965,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1964 — — — — — — —,True,True,True
1965,1966,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,,,,,,,,1965 — — — — — — —,True,True,True
1966,1967,bison harvest data.pdf,1,Bison Extra,Statewide bison harvest statistics,Bison,7.0,3.0,0.0,10.0,10.0,10.0,100.0,1966 7 3 0 10 10 10 100.0,True,True,True
