reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,hunt_type,bull_harvest,cow_harvest,harvest_total,permits,hunters_afield,average_days,percent_success,raw_line,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6534,"Book Cliffs, Bitter Creek",Hunter's choice,2,0,2,5,5,6.2,40.0,"BI6534 Book Cliffs, Bitter Creek Hunter's choice 2 0 2 5 5 6.2 40.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6535,"Book Cliffs, Bitter Creek",Hunter's choice,3,1,4,5,5,3.8,80.0,"BI6535 Book Cliffs, Bitter Creek Hunter's choice 3 1 4 5 5 3.8 80.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6536,"Book Cliffs, Bitter Creek",Cow only,0,3,3,3,3,1.0,100.0,"BI6536 Book Cliffs, Bitter Creek Cow only 0 3 3 3 3 1.0 100.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6532,"Book Cliffs, Bitter Creek (archery)",Hunter's choice,0,4,4,5,5,13.5,75.0,"BI6532 Book Cliffs, Bitter Creek (archery) Hunter's choice 0 4 4 5 5 13.5 75.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6529,"Book Cliffs, Little Creek/South",Hunter's choice,0,3,3,5,5,4.6,60.0,"BI6529 Book Cliffs, Little Creek/South Hunter's choice 0 3 3 5 5 4.6 60.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6530,"Book Cliffs, Little Creek/South",Hunter's choice,5,0,5,5,5,4.3,100.0,"BI6530 Book Cliffs, Little Creek/South Hunter's choice 5 0 5 5 5 4.3 100.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6537,"Book Cliffs, Little Creek/South",Hunter's choice,6,0,6,8,7,2.0,83.3,"BI6537 Book Cliffs, Little Creek/South Hunter's choice 6 0 6 8 7 2.0 83.3",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6528,"Book Cliffs, Little Creek/South (archery)",Cow only,1,0,1,3,3,8.7,33.3,"BI6528 Book Cliffs, Little Creek/South (archery) Cow only 1 0 1 3 3 8.7 33.3",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6503,Henry Mtns,Hunter's choice,10,1,11,12,12,2.5,90.9,BI6503 Henry Mtns Hunter's choice 10 1 11 12 12 2.5 90.9,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6504,Henry Mtns,Hunter's choice,9,1,10,11,11,4.6,90.9,BI6504 Henry Mtns Hunter's choice 9 1 10 11 11 4.6 90.9,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6505,Henry Mtns,Cow only,0,5,5,6,6,2.8,80.0,BI6505 Henry Mtns Cow only 0 5 5 6 6 2.8 80.0,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6506,Henry Mtns,Cow only,0,6,6,8,8,8.1,75.0,BI6506 Henry Mtns Cow only 0 6 6 8 8 8.1 75.0,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6516,Henry Mtns,Hunter's choice,7,1,8,8,8,3.1,100.0,BI6516 Henry Mtns Hunter's choice 7 1 8 8 8 3.1 100.0,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6509,Henry Mtns (archery),Hunter's choice,1,3,4,4,4,9.3,100.0,BI6509 Henry Mtns (archery) Hunter's choice 1 3 4 4 4 9.3 100.0,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6527,Nine Mile,Hunter's choice,2,0,2,20,16,9.6,14.3,BI6527 Nine Mile Hunter's choice 2 0 2 20 16 9.6 14.3,True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,BI6538,"Nine Mile, Private Lands Only",Hunter's choice,0,0,0,2,2,1.0,0.0,"BI6538 Nine Mile, Private Lands Only Hunter's choice 0 0 0 2 2 1.0 0.0",True,True,True
2024,2025,bison harvest data.pdf,3,Bison Extra,"Once-in-a-lifetime bison harvest by hunt, Utah 2024",Bison,STATEWIDE_SPORTSMAN_CONSERVATION,Statewide Sportsman/Conservation,Hunter's choice,2,0,2,2,2,1.0,100.0,Statewide Sportsman/Conservation Hunter's choice 2 0 2 2 2 1.0 100.0,True,True,True
