species,reported_hunt_year,model_target_year,harvest_family,table_name,hunt_code,hunt_name,region,county_or_area,row_scope,sample_n,hunters_afield,male_harvest,female_harvest,unknown_harvest,total_harvest,mean_days_afield,percent_success,source_file,source_page,source_section,source_status,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,permits_sold,total_hunters,total_permits,mean_public_days_afield,mean_private_days_afield,turkeys_per_hunter_day
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Box Elder,Northern,Box Elder,county_or_area,132.0,244.0,33.0,65.0,0.0,98.0,4.0,40.2,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Cache,Northern,Cache,county_or_area,314.0,579.0,94.0,197.0,4.0,295.0,4.6,51.0,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,East Canyon,Northern,East Canyon,county_or_area,98.0,181.0,35.0,42.0,0.0,77.0,2.8,42.9,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Mantua,Northern,Mantua,county_or_area,37.0,68.0,7.0,15.0,0.0,22.0,4.5,32.4,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Ogden Valley,Northern,Ogden Valley,county_or_area,136.0,251.0,26.0,68.0,0.0,94.0,5.0,37.5,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Unknown,Northern,Unknown,county_or_area,29.0,54.0,6.0,6.0,2.0,13.0,2.2,24.1,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Regional total,Northern,Regional total,regional_total,534.0,1290.0,201.0,393.0,6.0,599.0,4.5,46.4,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Juab,Central,Juab,county_or_area,27.0,49.0,7.0,9.0,0.0,16.0,3.3,33.3,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Salt Lake,Central,Salt Lake,county_or_area,8.0,14.0,5.0,0.0,0.0,5.0,6.0,37.5,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
Turkey,2023,2024,Turkey Fall Management,fall_management_by_region_area_2023,,Sanpete,Central,Sanpete,county_or_area,100.0,180.0,23.0,58.0,2.0,83.0,5.9,46.0,2023-24 turkey.pdf,3,"Fall management wild turkey harvest statistics by region and hunt area, Utah 2023.",final,True,True,True,,,,,,
