hunt_code,hunt_name,species,permit_field,allotment_field,dwr_field,permit_dwr_comparison_status,allotment_action,database_permit_value,allotment_value_after,dwr_huntplanner_value,source_url
BI6500,Antelope Island,Bison,permits_2026_res,permit_allotment_2026_res,permits_2026_res,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6500
BI6500,Antelope Island,Bison,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,0,0,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6500
BI6500,Antelope Island,Bison,permits_2026_total,permit_allotment_2026_total,permits_2026_total,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6500
DB0009,Antelope Island - Conservation/Expo,Deer,permits_2026_res,permit_allotment_2026_res,permits_2026_res,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB0009
DB0009,Antelope Island - Conservation/Expo,Deer,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB0009
DB0009,Antelope Island - Conservation/Expo,Deer,permits_2026_total,permit_allotment_2026_total,permits_2026_total,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB0009
DB1002,Antelope Island Premium,Deer,permits_2026_res,permit_allotment_2026_res,permits_2026_res,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,1,1,1,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1002
DB1002,Antelope Island Premium,Deer,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,0,0,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1002
DB1002,Antelope Island Premium,Deer,permits_2026_total,permit_allotment_2026_total,permits_2026_total,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,1,1,1,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1002
DB1121,Antelope Island Management,Deer,permits_2026_res,permit_allotment_2026_res,permits_2026_res,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1121
DB1121,Antelope Island Management,Deer,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,0,0,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1121
DB1121,Antelope Island Management,Deer,permits_2026_total,permit_allotment_2026_total,permits_2026_total,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1121
RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,permits_2026_res,permit_allotment_2026_res,permits_2026_res,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS1000
RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS1000
RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,permits_2026_total,permit_allotment_2026_total,permits_2026_total,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS1000
RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,permits_2026_res,permit_allotment_2026_res,permits_2026_res,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS6700
RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,0,0,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS6700
RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,permits_2026_total,permit_allotment_2026_total,permits_2026_total,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,2,2,2,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS6700
DA1041,"Nine Mile, Green River Valley",Deer,permits_2026_res,permit_allotment_2026_res,permits_2026_res,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1041
DA1041,"Nine Mile, Green River Valley",Deer,permits_2026_nr,permit_allotment_2026_nr,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,NOT_FILLED_NO_DATABASE_PERMIT_VALUE,,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1041
DA1041,"Nine Mile, Green River Valley",Deer,permits_2026_total,permit_allotment_2026_total,permits_2026_total,MATCH,ALREADY_MATCHED_DATABASE_AND_DWR_PERMIT,15,15,15,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1041
