path,size_bytes,file_type,page_dependency,is_large,is_blocking_likely,should_lazy_load,should_cloudflare_r2,should_compress,should_split,should_not_publish,recommendation
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000001.TablesByName.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000002.gdbtable,2055,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000002.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000003.gdbindexes,42,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000003.gdbtable,1042,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000003.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.CatItemsByPhysicalName.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.CatItemsByType.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.FDO_UUID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.gdbindexes,310,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.gdbtable,6597,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.horizon,32,HORIZON,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000004.spx,4118,SPX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.CatItemTypesByName.atx,12310,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.CatItemTypesByParentTypeID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.CatItemTypesByUUID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.gdbindexes,296,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.gdbtable,2071,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000005.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.CatRelsByDestinationID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.CatRelsByOriginID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.CatRelsByType.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.FDO_UUID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.gdbindexes,318,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.gdbtable,263,GDBTABLE,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000006.gdbtablx,5152,GDBTABLX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByBackwardLabel.atx,12310,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByDestItemTypeID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByForwardLabel.atx,12310,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByName.atx,12310,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByOriginItemTypeID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.CatRelTypesByUUID.atx,4118,ATX,,false,false,false,false,false,false,false,OK for current audit threshold.
data/2026MountainGoatOnce_in_a_Lifetime2 GEO DATA/eb8470f3-73a0-4156-bf4d-bf9debb03b2d.gdb/a00000007.gdbindexes,602,GDBINDEXES,,false,false,false,false,false,false,false,OK for current audit threshold.
