hunt_code,hunt_name,species,field_2026,field_2025,value_2026_backfilled_from_dwr,value_2025,absolute_change,percent_change,change_flag,dwr_source_url
PB5337,Heist CWMU,Pronghorn,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5337
PD1052,Heist CWMU,Pronghorn,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1052
DB1258,Little Red Creek CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1258
EA1147,Little Red Creek CWMU,Elk,permits_2026_res,permits_2025_res,15,15,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1147
EB3534,Little Red Creek CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3534
DB1263,Moon Ranch CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1263
EA1151,Moon Ranch CWMU,Elk,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1151
EB3538,Moon Ranch CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3538
DB1310,White's Valley CWMU,Deer,permits_2026_res,permits_2025_res,1,2,-1.0,-50.00,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1310
DB1244,Green Canyon CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1244
DB1289,Sharp Mountain CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1289
EA1235,Sharp Mountain CWMU,Elk,permits_2026_res,permits_2025_res,10,10,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1235
EB3610,Sharp Mountain CWMU,Elk,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3610
DB1293,South Canyon CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1293
EA1167,South Canyon CWMU,Elk,permits_2026_res,permits_2025_res,12,12,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1167
EB3554,South Canyon CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3554
DB1303,North Peaks CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1303
EB3565,North Peaks CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3565
DB1252,Ingham Peak CWMU,Deer,permits_2026_res,permits_2025_res,3,5,-2.0,-40.00,BIG_CHANGE_20_PERCENT_OR_MORE,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1252
EB3528,Ingham Peak CWMU,Elk,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3528
DB1328,Clear Creek CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1328
DB1250,Indian Creek CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1250
DB1281,Rattlesnake Pass CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1281
DB1241,Golden Spike CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1241
DB1306,Washakie CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1306
DB1209,Blind Springs CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1209
DB1277,Pocatello Valley CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1277
DB1280,Promontory Point CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1280
DB1270,Nucor West CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1270
DB1273,Park Valley Hereford CWMU,Deer,permits_2026_res,permits_2025_res,6,6,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1273
DB1222,Coldwater Ranch CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1222
EA1125,Coldwater Ranch CWMU,Elk,permits_2026_res,permits_2025_res,25,25,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EA1125
EB3509,Coldwater Ranch CWMU,Elk,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3509
DA1050,The Rose of Snowville CWMU,Deer,permits_2026_res,permits_2025_res,8,8,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1050
DB1347,The Rose of Snowville CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1347
PB5311,The Rose of Snowville CWMU,Pronghorn,permits_2026_res,permits_2025_res,3,3,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5311
PD1048,The Rose of Snowville CWMU,Pronghorn,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PD1048
DB1211,Blue Spring Hills CWMU,Deer,permits_2026_res,permits_2025_res,1,1,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1211
DB1308,West Hills CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1308
DB1231,Dove Creek CWMU,Deer,permits_2026_res,permits_2025_res,2,2,0.0,0.00,WITHIN_20_PERCENT,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1231
