hunt_code,hunt_name,species,field,comparison_status,database_value,dwr_huntplanner_value,source_url
DA1045,"Fillmore, Oak City",Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1045
DA1045,"Fillmore, Oak City",Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DA1045
DB1501,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1501
DB1501,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1501
DB1531,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1531
DB1531,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1531
DB1561,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1561
DB1561,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1561
DB1631,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1631
DB1631,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1631
DB1770,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1770
DB1770,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1770
LO1501,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=LO1501
LO1501,Box Elder,Deer,permits_2026_nr,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=LO1501
LO1501,Box Elder,Deer,permits_2026_total,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=LO1501
LO1531,Box Elder,Deer,permits_2026_res,DATABASE_BLANK_DWR_ZERO,,0,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=LO1531
