folder,old_name,new_name,status,error
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ANTLERLESS_DEER_formatted.xlsx,2026 DEER ANTLERLESS DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_antlerless_elk_general_season.xlsx,2026 ELK ANTLERLESS GENERAL SEASON.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BISON_COW.xlsx,2026 BISON COW O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BISON_HUNTER_CHOICE.xlsx,2026 BISON HUNTER CHOICE O.I.L.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_BLACK_BEAR.xlsx,2026 BLACK BEAR DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_cougar.xlsx,2026 COUGAR DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_ANTLERLESS.xlsx,2026 DEER ANTLERLESS DRAW SUMMARY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_antlerless_cwmu.xlsx,2026 DEER ANTLERLESS CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_ARCHERY_EXTENDED.xlsx,2026 DEER BUCK EXTENDED ARCHERY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_DEER_BUCK.xlsx,2026 DEER BUCK DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_cactus.xlsx,2026 DEER BUCK CACTUS BUCK.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_conservation.xlsx,2026 DEER BUCK CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_cwmu.xlsx,2026 DEER BUCK CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry.xlsx,2026 DEER BUCK L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry_management_buck.xlsx,2026 DEER BUCK L.E MANAGEMENT BUCK.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_limited_entry_private_lands_only.xlsx,2026 DEER BUCK L.E PRIVATE LANDS ONLY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_premium_limited_entry.xlsx,2026 DEER BUCK P.L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_buck_statewide.xlsx,2026 DEER BUCK STATEWIDE.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_general_season.xlsx,2026 DEER BUCK GENERAL SEASON.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_general_season_private_lands.xlsx,2026 DEER BUCK GENERAL SEASON PRIVATE LANDS.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_deer_hunter_choice.xlsx,2026 DEER HUNTER CHOICE.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_desert_bighorn_ram.xlsx,2026 DESERT BIGHORN SHEEP RAM O.I.L EXPANDED.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ELK_ANTLERLESS.xlsx,2026 ELK ANTLERLESS DRAW.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_conservation.xlsx,2026 ELK ANTLERLESS CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_CWMU.xlsx,2026 ELK ANTLERLESS CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_antlerless_privatelandsonly.xlsx,2026 ELK ANTLERLESS PRIVATE LANDS ONLY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_archery_extended.xlsx,2026 ELK BULL EXTENDED ARCHERY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_all 2.xlsx,2026 ELK BULL ALL HUNTS EXPANDED.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_ELK_BULL_ALL.xlsx,2026 ELK BULL ALL HUNTS SUMMARY.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_conservation_permit.xlsx,2026 ELK BULL CONSERVATION PERMIT.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_cwmu.xlsx,2026 ELK BULL CWMU.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_general_anybull.xlsx,2026 ELK BULL GENERAL ANY BULL.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_bull_limited_entry.xlsx,2026 ELK BULL L.E.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_general_anybull_youth.xlsx,2026 ELK BULL YOUTH GENERAL ANY BULL.xlsx,RENAMED,
processed_data/hard_data_exports/hunt_tables/2026/XLXS,2026_elk_general_archery.xlsx,2026 ELK BULL GENERAL ARCHERY.xlsx,RENAMED,
