hunt_code,hunt_name,species,permits_2024,permits_2025,permits_2026,permit_change_pct_2025_to_2026,draw_family_changed,species_changed,change_flags,context_note
BI6500,Antelope Island,Bison,,2,2,0,,,age_missing|management_objective_missing,
DB0009,Antelope Island - Conservation/Expo,Deer,,,,,,,age_missing|management_objective_missing,
DB1002,Antelope Island Premium,Deer,,1,1,0,,,age_missing|management_objective_missing,
DB1121,Antelope Island Management,Deer,,,2,,,,new_hunts_2026|harvest_missing|age_missing|management_objective_missing,
RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,,,,,,,age_missing|management_objective_missing,
RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,,1,2,100,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
DA1041,"Nine Mile, Green River Valley",Deer,,15,15,0,,,age_missing|management_objective_missing,
BR1008,Book Cliffs,Black Bear,,28,28,0,,,harvest_missing|management_objective_missing,
BR1011,Book Cliffs,Black Bear,,26,28,7.69,,,permit_count_changed|harvest_missing|management_objective_missing,
BR1015,Book Cliffs,Black Bear,,2,2,0,,,harvest_missing|management_objective_missing,
DB1011,Book Cliffs,Deer,,48,61,27.08,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1025,Book Cliffs,Deer,,47,61,29.79,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1044,Book Cliffs,Deer,,7,9,28.57,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
DB1056,Book Cliffs (North & South),Deer,,,,,,,age_missing|management_objective_missing,
DB1075,Book Cliffs (North & South),Deer,,,,,,,age_missing|management_objective_missing,
DB1076,Book Cliffs (North & South),Deer,,,,,,,age_missing|management_objective_missing,
DA1030,"Nine Mile, Price River Valley",Deer,,24,25,4.17,,,permit_count_changed|age_missing|management_objective_missing,
DA1046,"Nine Mile, Price River Valley",Deer,,25,25,0,,,age_missing|management_objective_missing,
BR7102,Book Cliffs Little Creek Roadless,Black Bear,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7224,Book Cliffs Little Creek Roadless,Black Bear,,10,15,50,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7225,Book Cliffs Little Creek Roadless,Black Bear,,7,5,-28.57,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
BR7301,Book Cliffs Little Creek Roadless,Black Bear,,2,5,150,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
EB3002,"Book Cliffs, Little Creek Roadless",Elk,,3,4,33.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3028,"Book Cliffs, Little Creek Roadless",Elk,,2,3,50,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EB3079,"Book Cliffs, Little Creek Roadless",Elk,,2,2,0,,,age_missing|management_objective_missing,
EB3104,"Book Cliffs, Little Creek Roadless",Elk,,1,1,0,,,management_objective_missing,
EB3167,"Book Cliffs, Little Creek Roadless",Elk,,4,5,25,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
EL3002,Book Cliffs Little Creek Roadless,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3028,Book Cliffs Little Creek Roadless,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3079,Book Cliffs Little Creek Roadless,Elk,,,,,,,harvest_missing|management_objective_missing,
EL3167,Book Cliffs Little Creek Roadless,Elk,,,,,,,harvest_missing|age_missing|management_objective_missing,
DB1018,"Book Cliffs, South",Deer,,29,38,31.03,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,"Deer permit change exceeds 20% context flag; audit only, not prediction."
PB5002,"Book Cliffs, South",Pronghorn,,8,9,12.5,,,permit_count_changed|management_objective_missing,
PB5027,"Book Cliffs, South",Pronghorn,,34,38,11.76,,,permit_count_changed|management_objective_missing,
RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,,,1,,,,new_hunts_2026|age_missing|management_objective_missing,
RS6701,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,,6,6,0,,,age_missing|management_objective_missing,
EA1266,"Box Elder, Hansel Mtn",Elk,,20,20,0,,,age_missing|management_objective_missing,
EA2026,"Box Elder, Hansel Mtn",Elk,,,200,,,,new_hunts_2026|age_missing|management_objective_missing,
RE1000,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,5,5,0,,,age_missing|management_objective_missing,
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,,1,,,,new_hunts_2026|age_missing|management_objective_missing,
RS6703,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,3,4,33.33,,,permit_count_changed|permit_change_gt_20_percent|age_missing|management_objective_missing,
RS6704,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,4,4,0,,,age_missing|management_objective_missing,
RS6722,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,2,2,0,,,age_missing|management_objective_missing,
DA1031,"Oquirrh-Stansbury, Settlement Cyn",Deer,,20,20,0,,,age_missing|management_objective_missing,
DA1033,"San Juan, Monticello",Deer,,5,5,0,,,age_missing|management_objective_missing,
DA1042,"San Juan, Monticello",Deer,,5,5,0,,,age_missing|management_objective_missing,
PB5003,"Box Elder, Promontory",Pronghorn,,3,4,33.33,,,permit_count_changed|permit_change_gt_20_percent|management_objective_missing,
PB5028,"Box Elder, Promontory",Pronghorn,,16,16,0,,,management_objective_missing,
PD1012,"Box Elder, Promontory",Pronghorn,,25,25,0,,,age_missing|management_objective_missing,
