workbook,pdf,row_number,hunt_code,age_value_rendered,hard_data_age,hard_data_reported_hunt_year,status
2026 BISON COW O.I.L.xlsx,2026 BISON COW O.I.L.pdf,2,BI6505,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,2026 BISON COW O.I.L.pdf,3,BI6506,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,2026 BISON COW O.I.L.pdf,4,BI6529,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,2026 BISON COW O.I.L.pdf,5,BI6536,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,2026 BISON COW O.I.L.pdf,6,BI6539,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,2,BI1000,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,3,BI6500,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,4,BI6503,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,5,BI6504,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,6,BI6509,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,7,BI6516,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,8,BI6527,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,9,BI6528,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,10,BI6531,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,11,BI6532,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,12,BI6534,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,13,BI6535,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,14,BI6537,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,2026 BISON HUNTER CHOICE O.I.L.pdf,15,BI6538,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,2026 BLACK BEAR DRAW.pdf,2,BR1000,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
