workbook,pdf_exists,row_number,hunt_code,hunt_name,species,age_cell_value,hard_data_age,hard_data_reported_hunt_year,hard_data_source_file,status
2026 BISON COW O.I.L.xlsx,true,2,BI6505,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,true,3,BI6506,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,true,4,BI6529,"Book Cliffs, Little Creek/South",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,true,5,BI6536,"Book Cliffs, Bitter Creek",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON COW O.I.L.xlsx,true,6,BI6539,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,2,BI1000,Bison - Statewide Permit,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,3,BI6500,Antelope Island,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,4,BI6503,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,5,BI6504,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,6,BI6509,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,7,BI6516,Henry Mtns,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,8,BI6527,Nine Mile,Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,9,BI6528,"Book Cliffs, Little Creek/South",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,10,BI6531,"Book Cliffs, Little Creek/South",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,11,BI6532,"Book Cliffs, Bitter Creek",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,12,BI6534,"Book Cliffs, Bitter Creek",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,13,BI6535,"Book Cliffs, Bitter Creek",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,14,BI6537,"Book Cliffs, Little Creek/South",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BISON HUNTER CHOICE O.I.L.xlsx,true,15,BI6538,"Nine Mile, Private Lands Only",Bison,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,2,BR1000,Black Bear - Statewide Permit,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,3,BR1001,Black Bear Harvest Objective Units,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,4,BR1007,Black Bear Pursuit - Resident,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,5,BR1008,Book Cliffs,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,6,BR1009,La Sal,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,7,BR1010,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,8,BR1011,Book Cliffs,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,9,BR1012,La Sal,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,10,BR1013,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,11,BR1015,Book Cliffs,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,12,BR1016,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,13,BR1017,La Sal,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,14,BR1018,Black Bear Pursuit - Nonresident,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,15,BR7000,Beaver,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,16,BR7001,Book Cliffs Bitter Creek/South,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,17,BR7003,Manti North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,18,BR7004,Manti South/San Rafael North,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,19,BR7005,Nebo,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,20,BR7007,Fillmore Pahvant,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,21,BR7009,Mt Dutton,Black Bear,4.5,4.5,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,22,BR7010,Panguitch Lake/Zion,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,23,BR7011,Paunsaugunt,Black Bear,3,3,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,24,BR7012,Boulder/Kaiparowits,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,25,BR7013,Fishlake/Thousand Lakes,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,26,BR7014,San Juan,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,27,BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,28,BR7016,Wasatch Mtns West-Central,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,29,BR7017,Cache/Ogden,Black Bear,,,,,AGE_BLANK_NO_PASS_NUMERIC_HARD_DATA
2026 BLACK BEAR DRAW.xlsx,true,30,BR7018,Kamas/North Slope Summit,Black Bear,4.2,4.2,2022,22_black_bear_report.pdf,AGE_POPULATED_FROM_PASS_HARD_DATA
