file,rows,species,sex_type,hunt_type,weapon,hunt_class_split,res_permit_rows,nr_permit_rows,total_permit_rows,season_rows,average_harvest_age_rows,notes_rows,database_code_join_rows,database_name_join_rows,database_missing_join_rows,status
2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,5,BISON,COW ONLY,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,5,1,5,5,0,5,5,0,0,OK
2026 BISON HUNTERS CHOICE GENERAL SEASON ANY LEGAL WEAPON.xlsx,2,BISON,HUNTERS CHOICE,GENERAL SEASON,ANY LEGAL WEAPON,,0,0,0,2,0,2,2,0,0,OK
2026 BISON HUNTERS CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,1,BISON,HUNTERS CHOICE,STATEWIDE,ANY LEGAL WEAPON,,0,0,0,1,0,1,1,0,0,OK
2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,8,BISON,HUNTERS CHOICE,ONCE-IN-A-LIFETIME,ANY LEGAL WEAPON,,8,3,8,8,0,8,8,0,0,OK
2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,3,BISON,HUNTERS CHOICE,ONCE-IN-A-LIFETIME,ARCHERY,,3,0,3,3,0,3,3,0,0,OK
2026 BLACK BEAR EITHER SEX PURSUIT PURSUIT ONLY.xlsx,1,BLACK BEAR,EITHER SEX,PURSUIT,PURSUIT ONLY,,0,0,0,1,0,1,1,0,0,OK
2026 BLACK BEAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,1,BLACK BEAR,EITHER SEX,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 COUGAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,1,COUGAR,EITHER SEX,STATEWIDE,ANY LEGAL WEAPON,,0,0,1,1,0,1,1,0,0,OK
2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,4,DEER,ANTLERLESS,GENERAL SEASON,ANY LEGAL WEAPON,,0,0,4,4,0,4,4,0,0,OK
2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx,7,DEER,ANTLERLESS,GENERAL SEASON,ARCHERY,,0,0,7,7,0,7,7,0,0,OK
2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx,5,DEER,ANTLERLESS,GENERAL SEASON,ARCHERY MUZZLELOADER SHOTGUN,,0,0,5,5,0,5,5,0,0,OK
2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,4,DEER,ANTLERLESS,CWMU,ANY LEGAL WEAPON,,0,0,4,4,0,4,4,0,0,OK
2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx,4,DEER,BUCK,P.L.E,ANY LEGAL WEAPON,,3,2,3,4,1,4,4,0,0,OK
2026 DEER BUCK P.L.E ARCHERY.xlsx,2,DEER,BUCK,P.L.E,ARCHERY,,2,2,2,2,1,2,2,0,0,OK
