family,output,rows,full_split,total_only,blank_no_published_numeric,partial,duplicate_hunt_codes,bad_split_totals,missing_source_rows,source_counts
BLACK_BEAR,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 black bear permits reviewed res-nr-total.csv,106,100,1,5,0,0,0,0,"{""2026 BLACK BEAR DRAW.xlsx"": 106}"
BUCK_DEER,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 buck deer all reviewed res-nr-total.csv,458,192,137,129,0,0,0,0,"{""2026 DEER BUCK DRAW.xlsx"": 458}"
ELK_ANTLERLESS,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 elk antlerless all reviewed res-nr-total.csv,204,167,27,10,0,0,0,0,"{""2026 ELK ANTLERLESS DRAW.xlsx"": 204}"
ELK_BULL,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 elk bull all reviewed res-nr-total.csv,353,209,3,141,0,0,0,0,"{""2026 ELK BULL ALL HUNTS.xlsx"": 353}"
MOOSE_BULL,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 moose bull all reviewed res-nr-total.csv,27,26,1,0,0,0,0,0,"{""2026 MOOSE BULL O.I.L.xlsx"": 27}"
MOOSE_ANTLERLESS,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 moose antlerless reviewed res-nr-total.csv,5,5,0,0,0,0,0,0,"{""USER_PASTED_DWR_HUNT_PLANNER_MOOSE_ANTLERLESS_MA_2026"": 5}"
MOUNTAIN_GOAT_HUNTERS_CHOICE,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 mountain goat reviewed res-nr-total.csv,18,17,1,0,0,0,0,0,"{""2026 MOUNTAIN GOAT HUNTER CHOICE O.I.L.xlsx"": 18}"
PRONGHORN_BUCK,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 pronghorn buck all reviewed res-nr-total.csv,94,87,1,6,0,0,0,0,"{""USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_BUCK_PB_LP_2026"": 94}"
PRONGHORN_DOE,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 pronghorn doe all reviewed res-nr-total.csv,23,23,0,0,0,0,0,0,"{""USER_PASTED_DWR_HUNT_PLANNER_PRONGHORN_DOE_PD_2026"": 23}"
TURKEY_BEARDED,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 turkey bearded all reviewed total.csv,14,0,8,6,0,0,0,0,"{""2026 TURKEY BEARDED DRAW.xlsx"": 14}"
TURKEY_EITHER_SEX,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 turkey either sex all reviewed total.csv,4,0,4,0,0,0,0,0,"{""2026 TURKEY EITHER SEX DRAW.xlsx"": 4}"
ROCKY_MOUNTAIN_BIGHORN_RAM,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 rocky mountain bighorn reviewed res-nr-total.csv,20,15,1,4,0,0,0,0,"{""USER_PASTED_DWR_HUNT_PLANNER_ROCKY_MOUNTAIN_BIGHORN_RS_2026"": 20}"
ROCKY_MOUNTAIN_BIGHORN_EWE,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 rocky mountain bighorn ewe reviewed res-nr-total.csv,1,1,0,0,0,0,0,0,"{""2026 ROCKY MOUNTAIN BIGHORN SHEEP EWE O.I.L.xlsx"": 1}"
DESERT_BIGHORN_RAM,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2026\csv\2026 Permits\2026 desert bighorn reviewed res-nr-total.csv,25,18,1,6,0,0,0,0,"{""2026 DESERT BIGHORN SHEEP RAM O.I.L.xlsx"": 25}"
