service_root,metadata_status,service_type,service_name,layer_count,table_count,age_term_hits,false_positive_age_hits,harvest_term_hits
https://dwrmapserv.utah.gov/arcgis/rest/services/HuntBoundary/CWD_positive_ver1/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/Local_File_GDBs/AGRC_Landownership_opensgid/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/TileCaches/AGRC_Landownership_Tiles_Ver5_opensgid/MapServer,200,MapServer,,1,0,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/ram/ram_WIA_PROD_v2/MapServer,200,MapServer,,,,,,
https://dwrmapserv.utah.gov/arcgis/rest/services/ram/ram_WMA_PROD_v2/MapServer,200,MapServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/DNRDWR/Habitat_Layers_V10/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/HuntBoundary/HUNT_BOUNDARY_PROD/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/HuntBoundary/HUNT_BOUNDARY_PROD/MapServer,200,MapServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/HuntBoundary/NPS_UTAH_V1/MapServer,200,MapServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/HuntBoundary/Restricted_Areas_V2/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/Local_File_GDBs/Counties/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/Local_File_GDBs/HealthCareFacilities/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/USFS/USFS_Prescribed_Burns/FeatureServer,200,FeatureServer,,,,,,
https://dwrmapserv.utah.gov/dwrarcgis/rest/services/hunt/CWMU_Tradelands_ver3/FeatureServer,200,FeatureServer,,1,0,,,
https://server.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer,200,MapServer,"<div style='text-align:Left;font-size:12pt'><p><span>This map portrays elevation as an artistic hillshade. This map is designed to be used as a backdrop for topographical, soil, hydro, landcover or other outdoor recreational maps. The map was compiled from a variety of sources from several data providers. The basemap has global coverage down to a scale of ~1:72k. In select areas of the United States and Europe, coverage is available down to ~1:9k. For more information on this map, including the terms of use, visit us online at https://goto.arcgisonline.com/maps/Elevation/World_Hillshade</span></p></div>",1,0,,,
https://services.arcgisonline.com/arcgis/rest/services/Elevation/World_Hillshade/MapServer,200,MapServer,"<div style='text-align:Left;font-size:12pt'><p><span>This map portrays elevation as an artistic hillshade. This map is designed to be used as a backdrop for topographical, soil, hydro, landcover or other outdoor recreational maps. The map was compiled from a variety of sources from several data providers. The basemap has global coverage down to a scale of ~1:72k. In select areas of the United States and Europe, coverage is available down to ~1:9k. For more information on this map, including the terms of use, visit us online at https://goto.arcgisonline.com/maps/Elevation/World_Hillshade</span></p></div>",1,0,,,
