role,status,source_path,vault_path,file_name,file_size_bytes,sha256,note
source_pdf,VAULTED_CANONICAL_COPY,pipeline/RAW/hunt_unit_database/2023/pdf/regulation/9E134C35__2022-24_conservation_permits.pdf,data_truth/permit_overlay_truth/raw_sources/2022_2024_conservation_permits/source_files/2022-24_conservation_permits.pdf,9E134C35__2022-24_conservation_permits.pdf,292968,a282526cd55ed21cf23c91a06e06203ca0306a888b0a1a9d71edf6a8c4e43964,Canonical 2022-2024 conservation permits PDF from raw intake.
extracted_workbook,VAULTED_CANONICAL_COPY,pipeline/RAW/hunt_unit_database/2023/2022_2024_conservation_permits_extracted.xlsx,data_truth/permit_overlay_truth/raw_sources/2022_2024_conservation_permits/source_files/2022_2024_conservation_permits_extracted.xlsx,2022_2024_conservation_permits_extracted.xlsx,27280,39f41da2d6cde967e2793fdfecf3e790b9ab19a53c1608390b95c091dee29376,Canonical extracted workbook paired with the conservation permits PDF.
extracted_workbook_duplicate,HELD_DUPLICATE_EXACT_SHA256,pipeline/RAW/hunt_unit_database/2023/csv/2022_2024_conservation_permits_extracted.xlsx,,2022_2024_conservation_permits_extracted.xlsx,27280,39f41da2d6cde967e2793fdfecf3e790b9ab19a53c1608390b95c091dee29376,Exact SHA-256 duplicate of the vaulted extracted workbook; not copied twice.
